Domain,Competitor Relevance,Common Keywords,Organic Keywords,Organic Traffic,Organic Cost,Adwords Keywords
jedec.org,0.01,42,1641,3281,965.00,0
outsight.ai,0.01,43,646,1662,5582.00,0
flashbattery.tech,0.01,33,1912,2492,1545.00,0
stfc.ac.uk,0.01,12,4236,3312,1275.00,0
iotforall.com,0.01,53,13331,9917,21314.00,0
censtry.com,0.01,52,3238,4045,814.00,0
nuro.ai,0.01,45,3605,14333,42955.00,0
intel.com,0.01,594,484730,2342337,1985199.00,220
ouster.com,0.01,65,1403,7157,11593.00,0
deepchip.com,0.01,14,132,66,19.00,0
nextplatform.com,0.01,40,9503,2346,2733.00,0
usb.org,0.01,67,6403,15018,15706.00,0
comma.ai,0.01,59,25535,24148,65767.00,0
riscv.org,0.01,79,2755,11612,25523.00,0
silvaco.com,0.01,28,999,2170,322.00,0
cablematters.com,0.01,94,69241,82880,45575.00,0
relionbattery.com,0.01,64,15660,27589,14291.00,0
universitywafer.com,0.01,43,6479,7732,8676.00,12
cim.io,0.01,54,2590,5136,22943.00,0
lhpes.com,0.01,49,858,1275,977.00,0
wiringharness.com,0.01,46,586,951,2226.00,0
noregon.com,0.01,45,4456,12050,19230.00,0
eetimes.eu,0.01,43,2816,1203,606.00,0
mostlovedworkplace.com,0.01,18,6249,4313,5442.00,0
futurumgroup.com,0.01,22,15106,4160,5286.00,0
arasan.com,0.01,30,557,354,428.00,0
supermicro.com,0.01,112,42619,171616,477457.00,217
orionbms.com,0.01,40,631,1324,398.00,0
marvell.com,0.01,72,11234,51520,99436.00,0
crest.com.au,0.01,25,1635,447,185.00,0
ni.com,0.01,176,91914,151933,399443.00,203
premioinc.com,0.01,74,12648,18053,16261.00,0
dewesoft.com,0.01,87,17512,29698,36154.00,0
analog.com,0.01,233,95618,203997,191563.00,42
conwire.com,0.01,68,7529,17495,12508.00,0
optica.org,0.01,113,51021,30711,35064.00,9
eenewseurope.com,0.01,36,10485,1453,1210.00,0
exida.com,0.01,31,1316,1572,2952.00,0
torc.ai,0.01,40,1089,6529,17628.00,0
opentopography.org,0.01,43,9261,7641,14548.00,0
bosch-mobility.com,0.01,66,8223,7511,5976.00,26
sapien.io,0.01,65,5258,8682,12733.00,0
patentpc.com,0.01,69,10010,6961,16313.00,0
whma.org,0.01,39,1422,2252,4183.00,0
spiedigitallibrary.org,0.01,75,37694,10481,9555.00,17
amphenol-cs.com,0.01,44,8646,5548,7910.00,18
edmundoptics.com,0.01,59,25285,49197,92781.00,21
motional.com,0.01,71,1377,3385,6192.00,1
edaboard.com,0.01,75,43179,3810,1391.00,0
siemens.com,0.01,324,236398,383215,814253.00,929
sifive.com,0.01,47,880,2382,244.00,0
techtime.news,0.01,5,343,53,10.00,0
soclabs.org,0.01,12,390,102,161.00,0
ovaga.com,0.01,58,8119,20479,8383.00,0
cmc.ca,0.01,18,949,357,818.00,0
spie.org,0.01,59,22704,33741,27659.00,12
infosecindex.com,0.01,16,2115,856,2336.00,0
woven.toyota,0.01,44,881,4588,1010.00,0
avaq.com,0.01,40,3172,4145,2303.00,0
vector.com,0.01,61,5284,7832,7800.00,11
semi.org,0.01,79,15857,25878,39214.00,14
symetri.ie,0,2,813,73,322.00,0
darts501.com,0,1,2146,1341,189.00,0
bynav.com,0,3,92,50,27.00,0
stevesimports.com,0,2,7180,5723,10803.00,0
cyzerg.com,0,1,1965,643,4090.00,0
govcomm.us,0,13,3499,9616,12584.00,0
evisionoptics.com,0,1,73,235,390.00,0
createasoft.com,0,3,656,357,1937.00,0
dsp-it.com,0,1,1,0,0.00,0
iikx.com,0,4,6014,4973,60.00,0
iccreditunion.org,0,1,5844,19354,39719.00,0
kempanderson.com,0,1,136,30,172.00,0
actions.es,0,1,80,20,0.00,0
truevetsolutions.com,0,2,5782,2868,6966.00,0
photonengr.com,0,4,167,278,24.00,0
shrm.org,0,5,279685,536965,2053829.00,130
insemitech.com,0,8,51,1085,4313.00,0
jobgether.com,0,3,48672,8770,7809.00,0
siliconlowcode.com,0,1,44,16,0.00,0
sentinelinitiative.org,0,2,2063,2148,11307.00,0
arplaza.co,0,4,33,9,0.00,0
lawinsider.com,0,38,794455,862434,1140208.00,0
align.com,0,1,1724,1361,9221.00,0
rybpowerpune.com,0,1,1,0,0.00,0
screencloud.com,0,1,22399,31012,168647.00,8
tapeop.com,0,1,19886,35706,13721.00,0
goodix.com,0,1,188,576,17.00,0
meteorelectrical.com,0,1,6896,5802,4501.00,0
naemazam.com,0,1,15,0,0.00,0
belfrysoftware.com,0,1,11119,22330,50683.00,66
ncku.edu.tw,0,1,9789,6408,285.00,0
filmjabber.com,0,2,34301,1935,268.00,0
mpsaz.org,0,1,22072,197409,317164.00,0
cloudrepo.io,0,1,222,307,1678.00,0
slocoe.org,0,4,2679,2882,515.00,0
towardshealthcare.com,0,6,5031,2391,5783.00,0
triadcontrols.co.uk,0,17,97,17,71.00,0
collinsaerospace.com,0,6,103982,85832,129416.00,143
webmdhealthservices.com,0,4,4430,7490,25600.00,0
ijert.org,0,4,8219,1510,1500.00,0
cloudessentials.com,0,2,113,12,65.00,0
blackmarketlabs.com,0,1,497,1396,4615.00,2
mhmedical.com,0,3,322387,247348,123008.00,0
aakar-studio.com,0,1,1,0,0.00,0
gigacalculator.com,0,2,494260,1074430,314563.00,0
canrilloptics.com,0,1,462,29,37.00,0
geomaticslandsurveying.com,0,1,1214,2735,5319.00,0
so-logic.net,0,1,44,25,0.00,0
ourpublicservice.org,0,1,25569,64546,38554.00,0
esitest.com,0,3,1683,4408,4715.00,0
powershield.com,0,3,131,325,336.00,0
aptmfg.com,0,1,1123,1022,487.00,0
tessie.com,0,8,1731,9515,4431.00,0
travelport.com,0,1,8142,12431,21885.00,0
burghardt-delicious.com,0,1,302,87,17.00,0
visionstory.ai,0,1,1242,692,1107.00,0
fire-monitoring.com,0,1,745,449,2491.00,0
ipcms.fr,0,1,171,523,45.00,0
technanosoft.com,0,1,2342,1860,6781.00,0
prudentialuniforms.com,0,3,7342,9613,11234.00,0
groww.in,0,4,299948,488887,702379.00,0
careersingovernment.com,0,3,183128,54325,22844.00,0
drc-danube.org,0,1,17,1,0.00,0
visualcomfort.com,0,3,147689,296286,393309.00,74
aastocks.com,0,1,53061,36637,34899.00,0
semiee.com,0,1,7,329,0.00,0
homedepot.com,0,38,19410379,102936109,69706078.00,17506
mas.it,0,1,9,0,0.00,0
kitchenaidparts.com,0,2,15901,21296,17425.00,129
geekelectronica.com,0,1,28,4,2.00,0
mantra.care,0,2,2162,534,2250.00,0
x.company,0,3,4093,20728,11065.00,0
delltechnologies.com,0,13,32339,34865,274018.00,0
eltima.com,0,2,29490,13941,6159.00,4
iccwbo.org,0,1,19033,42368,68757.00,0
rickandanns.com,0,1,243599,24242,6266.00,0
cjors.cn,0,1,79,19,0.00,0
wiphold.com,0,1,12,1,0.00,0
bcachemistry.wordpress.com,0,1,559,1190,5365.00,0
primesims.com,0,1,2,0,0.00,0
willkempartschool.com,0,1,27005,32129,10328.00,0
elsevier.com,0,6,266752,729157,264684.00,45
ric-tronics.com,0,1,27,0,0.00,0
copahost.com,0,5,6982,2409,259.00,0
islamicillumination.com,0,1,322,232,22.00,0
trutronics.com,0,1,33,65,0.00,0
sd.gov,0,4,555990,921167,496652.00,1
saintmarys.edu,0,1,28564,26004,26031.00,0
hpe.com,0,100,198429,363720,1737710.00,833
rt11.com,0,1,1884,9746,8305.00,0
3d-demand.com,0,1,88,9,0.00,0
mokinglobal.com,0,21,5807,7085,1853.00,0
roomai.com,0,1,10534,5029,3384.00,0
agspray.com,0,1,12359,27622,23083.00,1
isabellenhuetteusa.com,0,10,229,535,576.00,0
physicsforums.com,0,3,457101,40482,15180.00,0
teachingchannel.com,0,1,18693,31209,87569.00,0
aca-apac.com,0,1,60,0,0.00,0
networkright.com,0,2,745,508,4269.00,0
wundertech.net,0,1,3567,1980,1368.00,0
ilmea.org,0,1,2249,1460,938.00,0
morrisgrouponline.co,0,1,12,113,0.00,0
ao.com,0,1,57453,34504,35609.00,3
zoolatech.com,0,2,788,761,16872.00,0
synapsebiomedical.com,0,1,385,159,507.00,2
dbader.org,0,1,2168,597,431.00,0
hubstaff.com,0,1,44069,61974,194331.00,31
genfoundry.com,0,1,578,388,461.00,0
angstromsciences.com,0,1,2358,3622,609.00,6
laurelridgeworkforce.com,0,1,1371,706,2354.00,0
spotlessagency.com,0,1,527,356,797.00,0
jugnoo.io,0,1,446,201,803.00,0
teachcomputerscience.com,0,1,3580,2167,4373.00,0
utimaco.com,0,6,4953,4294,18898.00,0
zulip.readthedocs.io,0,1,162,39,167.00,0
jasco-global.com,0,1,840,250,515.00,0
analytixlabs.co.in,0,2,3226,1052,2809.00,0
iescomm.com,0,1,2390,8475,10530.00,0
hapsweb.org,0,4,666,1258,928.00,0
codilime.com,0,5,4579,21857,33958.00,0
gdsfactory.github.io,0,1,44,373,46.00,0
innovativemri.com,0,3,6042,7749,9633.00,0
lastcalltrivia.com,0,1,6221,14682,4670.00,0
concur.com,0,2,69259,453243,3520332.00,1848
allvoices.co,0,1,31913,51762,69713.00,116
nowsecure.com,0,2,2680,5890,15693.00,66
cybertechnologies.com,0,1,72,167,955.00,0
azom.com,0,16,103130,96487,102344.00,0
microchipdirect.com,0,2,1649,3249,4813.00,0
actionservicesgroup.com,0,1,3336,1276,2508.00,0
iversoft.ca,0,1,96,21,8.00,0
welcometosheltercove.com,0,1,3915,8617,6513.00,0
uml.org.cn,0,2,498,195,16.00,0
bts.gov,0,7,121347,124343,100423.00,0
sunny-automotive.com,0,1,75,154,191.00,0
wwe.com,0,1,580124,5340418,1804366.00,90
levelsautomobile.fr,0,1,14,50,60.00,0
cablecreation.com,0,3,16101,17996,8049.00,0
catb.org,0,1,4170,7449,2064.00,0
repatarmenia.org,0,4,239,84,2.00,0
nextcomputing.com,0,1,1009,1054,1345.00,35
home.cern,0,4,56000,112356,53750.00,0
grabjobs.co,0,1,45150,11962,9229.00,0
flyingshapes.com,0,1,49,18,2.00,0
collimator.ai,0,9,453,170,139.00,0
onr.navy.mil,0,3,5099,23319,14359.00,0
powerpaul.com.au,0,1,155,14,6.00,0
microsanj.com,0,1,76,49,10.00,0
lions-wing.net,0,1,275,44,9.00,0
sccipa.com,0,1,2764,3302,1102.00,0
eagerled.com,0,1,2246,1090,2187.00,0
homeofintegrity.com,0,1,7284,5399,26001.00,0
simsans.org,0,1,1,5,0.00,0
globalamericaninc.com,0,17,1345,1003,99.00,0
dial.de,0,2,219,57,89.00,0
transportforum.com,0,1,1534,281,413.00,0
eraworkforcesolutions.com,0,1,2431,387,334.00,0
manufactur3dmag.com,0,2,2542,101,59.00,0
ministryoftesting.com,0,3,10255,4572,15573.00,0
cornerstone-edsupply.com,0,1,1125,1127,576.00,0
launchnotes.com,0,4,33451,16176,23710.00,11
detailersdreamproducts.com,0,1,155,11,0.00,0
inventuspower.com,0,1,1138,1917,5825.00,0
sciepub.com,0,1,13453,3740,3511.00,0
ltn.com.tw,0,1,113493,69172,828.00,0
abtaba.com,0,1,36063,36795,43249.00,1
liveelectronicsgroup.com,0,17,1266,617,685.00,0
thetripleshift.org,0,1,1,0,0.00,0
dhigroup.com,0,1,829,1100,3014.00,0
fea-academy.com,0,1,273,322,786.00,0
eganshearing.ie,0,2,493,346,45.00,0
chimeramotors.com,0,20,1757,1039,956.00,0
jiitak.com,0,1,464,314,196.00,0
megalabinc.com,0,1,371,90,5.00,1
techielass.com,0,3,2333,381,273.00,0
missilicon.com,0,1,160,1411,32.00,0
kevsrobots.com,0,1,2371,2089,983.00,0
archcee.com,0,1,8,3,0.00,0
ricliso.com,0,2,171,5,0.00,0
cside.com,0,1,453,1902,2889.00,0
parisdescartes.fr,0,1,372,39,1.00,0
iscitech.com,0,1,36,0,0.00,0
webitmd.com,0,1,499,208,1464.00,0
steamcommunity.com,0,42,4750293,9681055,1922296.00,0
robertmhelfend.com,0,1,19334,46746,40764.00,0
synthanatomy.com,0,1,15778,3914,1652.00,0
vcsapps.org,0,1,32,129,4.00,0
25sprout.com,0,2,380,189,0.00,0
innodata.com,0,1,2764,7567,25035.00,79
queue-it.com,0,1,6471,15370,87855.00,4
mearto.com,0,1,17877,23827,8082.00,0
zimmermotor.com,0,1,5516,9300,12559.00,0
terrasanctaguild.com,0,2,3151,3783,2187.00,0
aptoide.com,0,4,462044,462477,356411.00,0
speedtechlights.com,0,6,9600,37523,26028.00,28
hartfordhospital.org,0,1,143784,229108,239208.00,0
leadrive.de,0,1,7,122,0.00,0
carcaretn.net,0,1,277,417,919.00,0
catcaresolutions.com,0,1,2613,4305,2211.00,0
rfidjournal.com,0,1,3382,1435,2393.00,0
bmsautoshop.com,0,2,32,17,35.00,0
addintools.com,0,1,3098,1524,368.00,0
ifdesign.com,0,2,12443,11005,11339.00,2
ip-solutions.se,0,2,11,13,83.00,0
wa.gov,0,31,4600045,10078668,12210852.00,5
state.mi.us,0,1,283083,839335,850860.00,0
beepboop.us,0,1,872,3091,200.00,0
chiplogictech.com,0,3,15,0,0.00,0
scholar9.com,0,1,8807,1282,791.00,0
fullenrich.com,0,1,10849,8550,25962.00,0
encoresemi.com,0,1,16,75,0.00,0
proprep.com,0,2,176932,209349,14347.00,0
erie.gov,0,1,161034,303624,162938.00,0
valleyvehiclelicensing.com,0,1,2004,2010,52.00,0
credenceresearch.com,0,1,10969,1816,1836.00,0
rocketleague.com,0,2,30274,144230,54007.00,0
milestone.co.za,0,1,188,18,65.00,0
variscite.com,0,1,448,726,3050.00,55
autonationhyundaisavannah.com,0,1,2068,7626,11182.00,0
tmc.edu,0,2,70935,110545,66852.00,0
futunn.com,0,1,192176,314546,569514.00,0
specialtylighting.com,0,1,1147,1057,650.00,0
tigersupplies.com,0,1,4785,6503,6582.00,2
laptopoutlet.co.uk,0,4,32126,27855,26084.00,0
advanceadas.com,0,1,30,6,12.00,0
take5.com,0,1,162366,900790,1282811.00,0
pinechemicals.org,0,1,99,26,3.00,0
orpurdrivingschool.com,0,1,84,46,37.00,0
oracle.com,0,238,1130978,2735855,10259838.00,3671
specialeinvest.com,0,2,66,32,124.00,0
ping0.cc,0,2,462,13817,9395.00,0
vredestein.co.in,0,1,3702,1687,913.00,0
tdzire.com,0,1,55,0,0.00,0
mathnet.ru,0,3,4816,788,425.00,0
opticaldesignsoftware.net,0,5,13,2,4.00,0
sitecom.com,0,5,360,313,437.00,0
tcamtv.com,0,1,86,53,0.00,0
globalgpssystems.com,0,5,2748,4042,5817.00,0
friendsoftheapostleislands.org,0,1,1402,1446,551.00,0
sharepoint.com,0,2,45822,414425,465588.00,0
neogaf.com,0,1,578663,225682,76116.00,0
cargpt.ai,0,1,57,438,979.00,0
researchdata.edu.au,0,1,3070,1317,534.00,0
snopes.com,0,1,384970,599581,716150.00,0
thedailyeconomy.org,0,13,23689,13769,4343.00,0
phillipslawoffices.com,0,2,12573,6490,20073.00,0
vationventures.com,0,9,8036,7955,16369.00,0
sustainability.watch,0,1,146,106,774.00,0
maddox.com,0,1,5858,26920,61867.00,37
samsearch.co,0,2,10100,7594,7860.00,0
yellotools.us,0,1,1034,2869,3073.00,0
vi-control.net,0,1,94917,41968,24468.00,0
fita.in,0,1,2259,798,936.00,0
ors-consulting.com,0,5,597,703,842.00,0
areatecnologia.com,0,1,1378,226,130.00,0
primetime-consulting.com,0,1,37,103,343.00,0
remonsinnema.com,0,5,81,5,9.00,0
wanzek.com,0,1,666,4555,10820.00,0
specular.ai,0,1,5,1,0.00,0
virtualplantlab.com,0,1,27,3,0.00,0
f-secure.com,0,1,41335,77161,70773.00,3
rlbot.org,0,1,861,2037,1780.00,0
procarsoundsecurity.com,0,7,5080,3401,4124.00,0
byonoy.com,0,4,694,888,807.00,50
telesign.com,0,1,4935,7351,90827.00,223
sbbit.jp,0,1,1859,538,32.00,0
ttm.com,0,2,5114,29687,60986.00,0
nalcoindia.co.in,0,1,2192,28,1.00,0
irfanview.com,0,1,19820,50747,17398.00,0
aflac.com,0,2,250369,911975,4450850.00,63
sonic.net,0,1,10100,12852,5263.00,0
techjockey.com,0,2,103092,20027,47845.00,17
2simple.it,0,2,11,4,27.00,0
mech-mind.net,0,1,868,410,100.00,0
cardinalkia.com,0,1,328,807,1301.00,0
metrostlouis.org,0,1,53827,126772,29000.00,0
nypa.gov,0,1,20649,33663,116548.00,0
sodiuswillert.com,0,2,503,158,502.00,1
eag.com,0,4,7236,14286,40901.00,39
equaloptics.com,0,2,1274,1096,3819.00,0
androidpolice.com,0,6,824155,342563,322559.00,0
talleycom.com,0,1,13963,13692,55628.00,0
colorado.edu,0,66,790352,1725294,2159999.00,22
pcronline.com,0,1,12568,7351,6191.00,2
portfoliopilot.com,0,2,7023,21499,51436.00,24
pearsonassessments.com,0,2,42490,242920,332723.00,15
sealifer3.org,0,1,570,1036,102.00,0
abcmouse.com,0,1,206411,1025364,495764.00,201
ogpnet.com,0,1,566,1242,4565.00,0
adgautomation.com,0,1,2,0,0.00,0
topvisioninstore.com,0,1,245,158,91.00,0
saberdiamond.com,0,2,8,9,0.00,0
biqu3d.com,0,3,677,336,223.00,0
xscapephotonics.com,0,1,30,456,1314.00,0
9to5mac.com,0,3,540128,391996,442609.00,0
superbcompanies.com,0,1,7783,983,2055.00,0
time.com,0,9,2994041,3895352,1883903.00,4
innoviz.tech,0,10,467,2043,4257.00,0
pmworld360.com,0,1,2332,227,278.00,0
mytpu.org,0,1,30338,106371,120214.00,0
metopera.org,0,1,132114,361788,305601.00,371
globalcybersecuritynetwork.com,0,2,7211,4524,17275.00,0
elveflow.com,0,1,2119,3997,12905.00,6
autovistagroup.com,0,11,7492,3404,4357.00,0
insideevs.com,0,37,251703,304482,487914.00,0
provantage.com,0,1,36078,12784,9004.00,0
automotivelinux.org,0,1,273,1014,416.00,0
edge-ai-vision.com,0,37,4084,1212,1407.00,0
glassdoor.com,0,283,7745345,5213687,5245230.00,163
kyndryl.com,0,2,14947,27524,119646.00,139
mzmperformance.com,0,2,126,317,17.00,0
ntnu.edu,0,2,19095,30871,32030.00,0
machinerylubrication.com,0,2,25868,42787,35456.00,0
upenn.edu,0,88,1572106,2849692,5929832.00,1707
genejohnsonplumbing.com,0,1,4176,5759,120339.00,0
globalxetfs.com.au,0,1,1668,1906,3349.00,0
vicorpower.com,0,1,3986,9731,18701.00,10
mediawrkz.com,0,1,8,0,0.00,0
panacompu.com,0,1,2081,774,388.00,0
motorfinanceonline.com,0,1,4046,1110,1095.00,0
palisadeforum.com,0,2,15852,4225,2484.00,0
themuse.com,0,17,279946,545488,237571.00,0
edcostore.com,0,1,1453,2138,2801.00,11
sarasoftwaresystems.com,0,1,23,72,0.00,0
getvast.app,0,1,10,4,0.00,0
avis.com,0,1,640693,2608573,3615937.00,369
customdesignecho.com,0,1,48,14,8.00,0
onirix.com,0,5,1540,1464,2557.00,0
fs.gov.za,0,1,1221,272,233.00,0
bluentcad.com,0,2,7987,5516,9719.00,0
crainhyundaioffayetteville.com,0,1,1843,5663,6395.00,0
investindia.gov.in,0,1,11407,2428,3329.00,0
globallogic.com,0,5,6671,8599,30250.00,0
radiantviewer.com,0,1,4198,4156,9017.00,0
atlaspolicy.com,0,1,897,656,630.00,0
vr-compare.com,0,6,7971,17374,6292.00,0
ll-c.com.mt,0,1,4,0,0.00,0
googleprojectzero.blogspot.com,0,1,572,1627,4397.00,0
naics.com,0,2,120058,197611,321191.00,18
icertglobal.com,0,1,7223,1117,3210.00,0
clay.earth,0,1,34857,8099,5907.00,0
wildsalmoncenter.org,0,1,2566,3220,2914.00,39
shorthand.com,0,1,22129,71068,77636.00,44
lobalive.com,0,1,512,88,285.00,0
overclockers.co.uk,0,8,297090,98649,54222.00,0
timestables.com,0,1,36532,493837,461816.00,0
intelligentinvestor.com.au,0,1,78250,64115,134113.00,0
turing.com,0,4,38292,33881,175823.00,40
designbestmagazine.com,0,1,515,480,152.00,0
autooptics.us,0,1,4,20,0.00,0
autobodyofzanesville.com,0,6,73,12,29.00,0
proteus.co,0,1,200,78,34.00,0
imagine-optic.com,0,5,282,378,288.00,0
iac.com,0,1,2256,19176,12083.00,0
thescxchange.com,0,2,3097,410,545.00,0
jonyautoparts.com,0,2,3915,1530,919.00,0
xilinx.com,0,14,7026,9983,13749.00,0
paubox.com,0,3,32770,42127,174600.00,39
isbndb.com,0,1,5089,9826,9055.00,1
abc4.com,0,2,377309,207710,108320.00,0
digital-adoption.com,0,3,7686,3753,16943.00,0
sintecs.eu,0,3,126,42,67.00,0
cbsaustin.com,0,1,315249,253613,288587.00,0
falcony.io,0,2,4539,2383,8380.00,0
hopkinsmedicine.org,0,7,4872186,14118892,9871208.00,980
amii.ca,0,2,292,898,15.00,0
sabereng.com,0,1,4,13,0.00,0
symantec.com,0,1,5957,14013,103418.00,0
johndaylegal.com,0,8,6003,2960,44464.00,0
toriihq.com,0,2,2426,2530,30843.00,93
trifact365.com,0,1,728,137,337.00,0
fabsolutions.uk,0,1,1,1,1.00,0
continental-tires.com,0,1,50219,126472,101475.00,3
rug.nl,0,1,39170,32210,50265.00,0
shekharkapur.com,0,1,87,220,0.00,0
orangecountync.gov,0,2,73829,135100,74758.00,0
ai4facd.github.io,0,1,7,0,0.00,0
evdesigncollective.com,0,1,5,4,13.00,0
ibm.com,0,755,1193145,2930287,14807127.00,4582
jeepreconforum.com,0,1,370,114,0.00,0
tiicker.com,0,1,5305,1782,2109.00,0
phasics.com,0,8,187,191,523.00,2
cuny.edu,0,3,1533931,4279684,8404393.00,5
angstroms.com,0,1,4,3,0.00,0
m4k.co.uk,0,1,3,0,0.00,0
steinlaw.com,0,1,2689,2718,36122.00,0
allenoverseas.com,0,1,2558,3110,1503.00,0
