URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change
https://www.synopsys.com/glossary/what-is-asil.html,0.39,71,334,0,2,60,2,0,1,12,304,25,0,11,-4
https://www.synopsys.com/glossary/what-is-light-scattering.html,0.38,66,326,0,2,40,0,0,0,7,326,0,0,0,-46
https://www.synopsys.com/company/executive-briefing-center/ebc-map.html,0.38,25,326,0,1,14,6,6,0,1,325,1,210,0,1
https://www.synopsys.com/content/dam/synopsys/company/sunnyvale-campusmap.pdf,0.36,13,310,0,0,6,3,5,0,0,310,0,310,0,0
https://www.synopsys.com/optical-solutions/codev.html,0.35,54,300,0,3,20,4,1,0,116,184,0,0,0,-14
https://www.synopsys.com/glossary/what-is-medical-3d-printing.html,0.34,179,296,0,18,75,1,8,0,19,276,0,1,0,23
https://www.synopsys.com/glossary/what-is-augmented-reality-optics.html,0.32,113,279,0,16,34,1,1,2,88,211,0,0,2,-15
https://www.synopsys.com/glossary/what-is-ic-design.html,0.32,162,278,0,1,54,1,0,1,3,272,0,0,1,-11
https://www.synopsys.com/glossary/what-is-a-finfet.html,0.31,31,273,0,1,13,1,0,0,1,270,3,0,0,20
https://www.synopsys.com/glossary/what-is-simulation.html,0.31,14,272,0,0,8,0,0,0,0,272,0,0,0,266
https://www.synopsys.com/products.html,0.31,19,267,0,0,5,1,3,0,0,267,0,56,0,-1
https://www.synopsys.com/blogs/chip-design/essential-cloud-computing-characteristics.html,0.3,106,265,0,6,84,2,5,1,16,254,0,6,1,6
https://www.synopsys.com/zh-cn/glossary/what-is-lidar.html,0.3,6,265,0,0,5,0,0,0,0,265,0,0,0,-9
https://www.synopsys.com/glossary/what-is-risc-v.html,0.29,152,251,0,2,64,8,9,1,1,209,2,8,39,-13
https://www.synopsys.com/blogs/chip-design/what-is-software-in-the-loop-testing.html,0.29,32,249,0,0,15,1,0,0,0,249,0,0,0,0
https://www.synopsys.com/company/management-team/sassine-ghazi-bio.html,0.27,17,236,0,0,12,2,1,0,0,236,0,0,0,-3
https://www.synopsys.com/optical-solutions/learn/gentle-intro-to-optical-design.html,0.26,43,229,0,1,19,0,4,0,0,229,0,8,0,-1
https://www.synopsys.com/glossary/what-is-vehicle-electrification.html,0.26,31,224,0,1,22,0,0,0,1,224,0,0,0,-8
https://www.synopsys.com/glossary/what-is-moores-law.html,0.26,155,224,0,3,115,2,0,2,3,208,1,0,12,3
https://investor.synopsys.com/financials/quarterly-results/default.aspx,0.25,158,219,0,0,11,5,0,0,0,197,158,0,0,18
https://www.synopsys.com/glossary/what-is-a-mach-zehnder-modulator.html,0.24,33,214,0,5,19,0,1,0,24,214,0,1,0,-55
https://www.synopsys.com/zh-cn/automotive/autonomous-driving-levels.html,0.24,23,213,0,6,17,0,2,0,29,213,0,5,0,146
https://www.synopsys.com/glossary/what-is-a-metalens.html,0.24,8,206,0,1,6,0,0,0,6,200,0,0,0,0
https://www.synopsys.com/glossary/what-is-analog-design.html,0.23,78,200,0,8,37,0,0,0,3,197,0,0,0,-3
https://www.synopsys.com/verification/debug/verdi.html,0.22,14,194,0,0,7,0,0,0,0,194,0,0,0,22
https://investor.synopsys.com/news/news-details/2024/Synopsys-Enters-Definitive-Agreement-to-Sell-its-Software-Integrity-Business-to-Clearlake-Capital-and-Francisco-Partners/default.aspx,0.21,25,185,0,1,7,2,2,1,0,185,0,112,0,0
https://www.synopsys.com/implementation-and-signoff/signoff/primetime.html,0.21,21,183,0,3,7,3,0,0,27,152,4,0,0,26
https://www.synopsys.com/blogs/chip-design/what-is-a-cloud-data-center.html,0.21,58,182,0,4,39,0,0,0,27,182,0,0,0,-9
https://www.synopsys.com/glossary/what-are-chiplets.html,0.2,36,175,0,2,27,0,0,0,52,123,0,0,0,-3
https://www.synopsys.com/synopsys-ansys-united.html,0.2,84,175,0,4,52,15,9,1,6,165,10,1,0,3
https://www.synopsys.com/glossary/what-is-iso-26262.html,0.2,67,173,0,0,56,0,0,0,0,173,0,0,0,-483
https://www.synopsys.com/blogs/chip-design/what-is-usb4-v2-specification.html,0.18,53,158,0,17,31,0,6,0,102,58,0,20,0,-1
https://www.synopsys.com/aerospace-government.html,0.18,36,155,0,4,8,6,2,3,39,25,130,0,0,77
https://www.synopsys.com/community/snug/snug-silicon-valley.html,0.17,25,150,0,2,7,2,2,0,15,147,3,34,0,4
https://www.synopsys.com/glossary/what-is-automotive-interior-lighting.html,0.17,154,149,0,33,60,1,24,0,66,125,0,16,0,-26
https://www.synopsys.com/glossary/what-is-model-based-design.html,0.17,33,147,0,1,18,0,0,0,2,147,0,0,0,7
https://www.synopsys.com/implementation-and-signoff/ams-simulation/primesim-hspice.html,0.17,8,146,0,1,3,0,1,0,9,146,0,119,0,0
https://www.synopsys.com/glossary/what-is-reinforcement-learning.html,0.16,152,145,0,7,74,0,3,3,5,142,0,0,3,13
https://www.synopsys.com/glossary/what-is-electromigration.html,0.16,8,143,0,0,7,0,0,0,0,143,0,0,0,-4
https://www.synopsys.com/glossary/what-is-ide.html,0.16,88,142,0,1,49,0,0,0,3,140,0,0,0,66
https://www.synopsys.com/glossary/what-is-usb4.html,0.16,82,142,0,21,46,0,9,0,19,133,0,103,0,86
https://www.synopsys.com/blogs/chip-design/system-on-chip.html,0.16,75,140,0,1,62,1,0,0,0,140,0,0,0,-4
https://investor.synopsys.com/news/news-details/2025/Synopsys-Announces-Earnings-Release-Date-For-Second-Quarter-Fiscal-Year-2025/default.aspx,0.16,12,138,0,0,4,2,0,0,0,138,0,0,0,-4
https://www.synopsys.com/partners/intel-foundry-services.html,0.15,15,133,0,0,6,1,0,0,0,0,133,0,0,133
https://www.synopsys.com/support/training/locations/locations_hillsboro.html,0.15,15,129,0,0,4,0,5,0,0,57,0,129,0,-1
https://www.synopsys.com/zh-cn.html,0.15,9,129,0,0,5,0,2,0,0,129,0,117,0,-11
https://www.synopsys.com/glossary/what-is-3dic.html,0.15,35,129,0,2,27,0,4,0,15,129,0,11,0,5
https://www.synopsys.com/optical-solutions.html,0.14,72,128,0,7,17,1,2,0,23,103,0,88,0,23
https://www.synopsys.com/optical-solutions/lighttools.html,0.14,53,125,0,2,12,0,0,0,1,125,0,0,0,0
https://www.synopsys.com/verification/simulation/vcs.html,0.14,53,121,0,7,27,2,4,0,5,110,11,3,0,2
https://www.synopsys.com/simpleware/clinical-applications.html,0.14,9,120,0,0,4,1,0,0,0,120,0,0,0,0
https://www.synopsys.com/company/acquisitions.html,0.14,20,120,0,5,10,0,2,1,22,111,0,88,9,-1
https://www.synopsys.com/verification/virtual-prototyping/virtualizer.html,0.13,15,119,0,0,10,1,1,0,0,79,40,40,0,0
https://www.synopsys.com/glossary/what-is-reflectance-and-transmittance.html,0.13,72,117,0,0,27,0,0,0,0,117,0,0,0,-5
https://www.synopsys.com/glossary/what-is-an-ai-accelerator.html,0.13,65,114,0,4,30,0,1,1,49,114,0,0,0,12
https://www.synopsys.com/glossary/what-is-design-rule-checking.html,0.13,52,114,0,2,40,5,0,0,0,108,5,0,0,8
https://news.synopsys.com/2025-05-28-Synopsys-Posts-Financial-Results-for-Second-Quarter-Fiscal-Year-2025,0.13,4,112,0,0,1,0,0,0,0,112,0,0,0,0
https://www.synopsys.com/ai.html,0.12,43,111,0,3,6,3,3,1,17,6,88,88,0,-68
https://www.synopsys.com/glossary/what-are-power-electronics.html,0.12,45,111,0,0,17,3,0,1,0,61,48,0,2,-173
https://www.synopsys.com/glossary/what-is-ai-chip-design.html,0.12,68,105,0,1,34,1,0,0,0,105,0,0,0,-1
https://www.synopsys.com/verification/emulation-prototyping/prototyping/haps-100.html,0.12,21,104,0,1,6,3,3,0,0,24,80,80,0,10
https://www.synopsys.com/glossary/what-is-low-power-design.html,0.11,28,101,0,1,19,1,0,0,0,101,0,0,0,11
https://www.synopsys.com/simpleware.html,0.11,31,100,0,0,8,0,0,0,0,100,0,0,0,66
https://www.synopsys.com/glossary/what-is-library-characterization.html,0.11,4,100,0,2,2,0,0,0,11,89,0,0,0,89
https://www.synopsys.com/glossary/what-is-a-process-design-kit.html,0.11,18,100,0,0,12,2,1,0,0,100,0,9,0,0
https://www.synopsys.com/glossary/what-is-medical-image-processing.html,0.11,9,100,0,1,4,1,0,0,0,100,0,0,0,0
https://www.synopsys.com/glossary/what-is-silicon-photonics.html,0.11,37,99,0,0,16,0,0,0,0,99,0,0,0,-4
https://www.synopsys.com/company/corporate-governance-ethics/board-of-directors.html,0.11,20,98,0,2,7,5,3,0,10,33,65,33,0,59
https://www.synopsys.com/support/training/locations/locations_mtview.html,0.11,24,97,0,1,3,2,2,0,0,41,56,41,0,39
https://www.synopsys.com/dw/ipdir.php?ds=security-troot-hw-root-of-trust,0.11,2,96,0,0,2,0,0,0,0,96,0,0,0,0
https://news.synopsys.com/,0.1,27,94,0,2,2,2,1,1,3,5,89,88,0,-3
https://www.synopsys.com/support.html,0.1,19,93,0,1,1,11,4,1,0,0,91,46,2,-9
https://www.synopsys.com/zh-cn/glossary/what-is-electronic-design-automation.html,0.1,10,93,0,0,6,0,0,0,0,93,0,0,0,0
https://www.synopsys.com/glossary/what-is-misra.html,0.1,35,92,0,0,29,0,1,0,0,92,0,0,0,4
https://www.synopsys.com/verification/emulation-prototyping/emulation.html,0.1,22,90,0,0,9,0,2,0,0,90,0,74,0,0
https://www.synopsys.com/optical-solutions/codev/optical-design.html,0.1,8,87,0,2,2,1,0,0,8,79,0,0,0,0
https://www.synopsys.com/manufacturing/tcad/device-simulation/sentaurus-device.html,0.1,15,87,0,0,8,0,0,0,0,87,0,0,0,0
https://www.synopsys.com/blogs/chip-design/timing-constraints-signoff-flow.html,0.09,3,85,0,3,3,0,0,0,85,85,0,0,0,0
https://www.synopsys.com/glossary/what-is-3d-image-segmentation.html,0.09,13,85,0,0,5,0,0,0,0,85,0,0,0,0
https://www.synopsys.com/glossary/what-is-automotive-exterior-lighting.html,0.09,68,85,0,21,20,0,5,2,27,48,0,14,14,-6
https://www.synopsys.com/glossary/what-is-a-light-guide.html,0.09,20,84,0,0,10,5,0,0,0,58,26,0,0,-24
https://www.synopsys.com/implementation-and-signoff/physical-implementation/fusion-compiler.html,0.09,8,82,0,0,2,0,1,0,0,82,0,40,0,0
https://www.synopsys.com/blogs/chip-design/high-bandwidth-memory-hbm-ai-future.html,0.09,16,81,0,3,13,0,0,0,1,81,0,0,0,55
https://www.synopsys.com/verification/virtual-prototyping/saber.html,0.09,23,80,0,2,11,2,1,0,0,79,1,24,0,-1
https://www.synopsys.com/services/design-services.html,0.09,33,79,0,0,6,3,1,0,0,5,74,0,0,-77
https://www.synopsys.com/verification/solutions/automotive/prototyping-in-automotive.html,0.09,13,79,0,0,10,1,1,0,0,79,0,1,0,0
https://www.synopsys.com/articles/under-the-hood-asip-designer.html,0.08,2,77,0,2,2,0,0,0,77,77,0,0,0,0
https://www.synopsys.com/ai/ai-powered-eda/vso-ai.html,0.08,16,75,0,0,2,0,3,0,0,3,0,72,0,0
https://benefits.synopsys.com/,0.08,16,73,0,0,2,1,2,0,0,1,72,1,0,0
https://www.synopsys.com/designware-ip.html,0.08,67,72,0,5,20,8,2,1,2,16,56,0,0,-137
https://www.synopsys.com/glossary/what-is-circuit-simulation.html,0.08,113,70,0,31,27,1,2,1,21,53,0,0,0,-546
https://www.synopsys.com/verification/virtual-prototyping/tpt.html,0.08,9,69,0,0,5,2,1,0,0,42,27,1,0,12
https://www.synopsys.com/glossary/what-is-sram-puf.html,0.07,11,67,0,0,5,1,0,0,0,67,0,0,0,2
https://www.synopsys.com/manufacturing/mask-solutions/proteus.html,0.07,20,66,0,0,4,0,0,0,0,66,0,0,0,66
https://www.synopsys.com/articles/pcie3-bandwidth-considerations.html,0.07,114,64,0,6,44,0,0,1,1,59,0,0,4,-2
https://www.synopsys.com/glossary/what-is-stray-light.html,0.07,12,63,0,0,10,1,0,0,0,63,0,0,0,0
https://www.synopsys.com/manufacturing/quantumatk.html,0.07,26,63,0,3,8,1,1,0,15,63,0,17,0,0
https://www.synopsys.com/articles/anatomy-ethernet-phy-for-hpc.html,0.07,44,62,0,4,33,0,1,1,5,54,0,0,3,-863
https://www.synopsys.com/optical-solutions/support/solvnetplus.html,0.07,12,62,0,0,0,11,5,0,0,0,62,14,0,-7
https://www.synopsys.com/verification/virtual-prototyping/platform-architect.html,0.07,20,61,0,1,5,0,1,0,0,61,0,32,0,0
https://www.synopsys.com/company/responsible-business/governance/cybersecurity-privacy.html,0.07,4,61,0,0,1,1,2,0,0,56,5,61,0,0
https://www.synopsys.com/company/management-team.html,0.07,40,60,0,1,12,0,4,0,1,60,0,56,0,1
https://www.synopsys.com/cloud.html,0.06,39,58,0,1,8,3,3,2,0,26,32,32,0,0
https://www.synopsys.com/careers/benefits.html,0.06,9,58,0,2,1,1,1,0,0,56,2,56,0,0
https://www.synopsys.com/articles/hdmi-and-mhl.html,0.06,64,58,0,20,41,0,4,0,33,51,0,0,0,10
https://www.synopsys.com/implementation-and-signoff/signoff/tweaker.html,0.06,7,58,0,1,4,0,3,0,0,58,0,49,0,49
https://www.synopsys.com/events/designcon.html,0.06,8,57,0,0,2,5,0,0,0,30,27,0,0,-2
https://www.synopsys.com/blogs/chip-design/unified-power-format-low-power-ic-design.html,0.06,1,57,0,0,1,0,0,0,0,57,0,0,0,0
https://careers.synopsys.com/search-jobs,0.06,123,56,0,6,1,3,0,0,56,0,0,0,0,56
https://www.synopsys.com/blogs/chip-design/system-on-chip-design.html,0.06,48,55,0,0,14,0,0,0,0,55,0,0,0,0
https://www.synopsys.com/implementation-and-signoff/resources/datasheets/fusion-compiler-ds.html,0.05,10,51,0,2,9,0,1,0,3,51,0,0,0,0
https://www.synopsys.com/blogs/chip-design/automotive-testing-terms.html,0.05,31,50,0,3,11,0,0,1,36,16,0,0,0,1
https://www.synopsys.com/blogs/chip-design/what-is-code-linting.html,0.05,37,50,0,0,24,0,0,0,0,50,0,0,0,5
https://www.synopsys.com/blogs/chip-design/pcie-bifurcation-basic-guide.html,0.05,16,49,0,6,10,0,0,0,27,48,0,0,0,0
https://www.synopsys.com/glossary/what-is-3d-anatomical-models.html,0.05,93,49,0,10,17,3,1,0,31,48,0,0,0,2
https://www.synopsys.com/blogs/chip-design/cloud-native-vs-cloud-agnostic.html,0.05,45,49,0,11,10,0,0,0,46,19,0,0,0,0
https://www.synopsys.com/company/management-team/shelagh-glaser-bio.html,0.05,3,49,0,0,3,0,2,0,0,49,0,32,0,8
https://www.synopsys.com/company/contact-synopsys.html,0.05,34,49,0,0,7,7,6,0,0,9,40,4,0,-1
https://www.synopsys.com/dw/dwtb/ethernet_mac/ethernet_mac.html,0.05,26,48,0,0,16,0,3,0,0,48,0,16,0,0
https://www.synopsys.com/verification/static-and-formal-verification/spyglass.html,0.05,18,48,0,4,8,0,2,0,4,44,0,32,0,6
https://www.synopsys.com/blogs/chip-design/understanding-pcie-spread-spectrum-clocking.html,0.05,16,48,0,5,13,0,1,1,7,48,0,18,0,0
https://www.synopsys.com/glossary/what-is-3d-image-processing.html,0.05,38,48,0,1,15,0,0,0,0,48,0,0,0,-3
https://investor.synopsys.com/news/news-details/2017/News-Release-Synopsys-Completes-Acquisition-of-Black-Duck-Software-01-01-1995/default.aspx,0.05,18,47,0,0,1,10,0,0,0,0,47,0,0,46
https://www.synopsys.com/articles/introduction-to-tcam.html,0.05,6,47,0,0,2,0,0,0,0,47,0,0,0,0
https://www.synopsys.com/blogs/chip-design/what-is-a-smartnic.html,0.05,4,47,0,1,2,0,0,1,0,5,0,0,42,0
https://www.synopsys.com/verification/services-costart.html,0.05,2,46,0,1,1,0,0,0,46,46,0,0,0,0
https://www.synopsys.com/glossary/what-is-automotive-hardware-functional-safety.html,0.05,28,46,0,1,17,0,0,0,0,46,0,0,0,-3
https://www.synopsys.com/verification/static-and-formal-verification/timing-constraints-manager.html,0.05,8,46,0,2,3,0,0,0,45,46,0,0,0,-103
https://www.synopsys.com/glossary/what-is-design-planning.html,0.05,10,45,0,3,7,0,0,0,6,41,0,0,0,0
https://www.synopsys.com/articles/sram-puf-secure-silicon-fingerprint.html,0.05,2,43,0,0,1,0,0,0,0,43,0,0,0,0
https://www.synopsys.com/dw/ipdir.php?ds=security-random-number-generator,0.05,8,43,0,1,5,0,0,0,2,43,0,0,0,2
https://www.synopsys.com/designware-ip/processor-solutions/asips-tools.html,0.04,4,42,0,2,4,0,0,0,0,42,0,0,0,0
https://www.synopsys.com/glossary/what-is-medical-image-segmentation.html,0.04,36,42,0,3,13,0,0,2,0,33,0,0,9,1
https://www.synopsys.com/verification/emulation-prototyping/prototyping/ip.html,0.04,7,40,0,2,2,1,1,0,8,36,0,32,0,4
https://www.synopsys.com/cgi-bin/verification/dsdla/pdfr1.cgi?file=certitude-ds.pdf,0.04,2,40,0,0,1,1,0,0,0,0,40,0,0,0
https://www.synopsys.com/blogs/chip-design/ufs-4-0-specification-flash-storage.html,0.04,29,40,0,1,13,1,1,0,0,40,0,0,0,-64
https://benefits.synopsys.com/time-away/holidays,0.04,7,40,0,0,2,0,1,0,0,40,0,40,0,0
https://www.synopsys.com/blogs/chip-design/verification-validation-differences.html,0.04,46,40,0,8,28,0,0,0,3,36,0,0,0,-161
https://www.synopsys.com/glossary/what-is-custom-ic.html,0.04,27,39,0,0,9,0,1,2,0,20,0,0,19,0
https://www.synopsys.com/glossary/what-is-ucie.html,0.04,13,39,0,0,11,0,0,0,0,39,0,0,0,7
https://www.synopsys.com/designware-ip/interface-ip/pci-express/pci-express-5.html,0.04,12,39,0,3,4,0,0,0,32,7,0,0,0,38
https://www.synopsys.com/automotive.html,0.04,92,39,0,13,26,3,3,1,17,37,0,0,0,7
https://www.synopsys.com/blogs/chip-design/lpddr5x-specification-memory-design.html,0.04,12,37,0,4,6,0,0,0,4,35,0,0,0,-4
https://www.synopsys.com/glossary/what-is-asic-design.html,0.04,60,37,0,0,31,0,0,0,0,37,0,0,0,2
https://www.synopsys.com/manufacturing/tcad/dtco.html,0.04,10,36,0,0,2,1,0,0,0,36,0,0,0,0
https://www.synopsys.com/content/dam/synopsys/verification/datasheets/silver-ds.pdf,0.04,3,36,0,0,3,0,2,0,0,36,0,0,0,0
https://www.synopsys.com/glossary/what-is-glitch-power.html,0.04,21,36,0,0,12,0,0,0,0,36,0,0,0,-12
https://www.synopsys.com/implementation-and-signoff.html,0.04,27,36,0,4,12,0,2,1,4,36,0,0,0,-74
https://www.synopsys.com/glossary/what-is-field-programmable-gate-array.html,0.04,46,36,0,0,19,0,0,0,0,36,0,0,0,7
https://www.synopsys.com/implementation-and-signoff/rtl-synthesis-test.html,0.04,16,35,0,0,4,0,1,1,0,35,0,32,0,0
https://www.synopsys.com/content/dam/synopsys/optical-solutions/documents/whitepapers/optical-system-tolerancing.pdf,0.04,2,35,0,1,1,0,0,0,28,7,0,0,0,0
https://www.synopsys.com/glossary/what-is-high-bandwitdth-memory-3.html,0.03,24,34,0,1,7,0,0,1,4,34,0,0,0,2
https://www.synopsys.com/company/legal/security-commitments.html,0.03,6,34,0,0,2,1,3,1,0,24,10,34,0,0
https://www.synopsys.com/blogs/chip-design/what-is-bring-your-own-cloud.html,0.03,17,33,0,0,11,0,0,0,0,33,0,0,0,1
https://www.synopsys.com/company/management-team/ravi-subramanian-bio.html,0.03,3,33,0,0,2,0,1,0,0,33,0,32,0,0
https://www.synopsys.com/photonic-solutions/optocompiler.html,0.03,7,32,0,1,3,0,1,0,0,32,0,32,0,0
https://www.synopsys.com/designware-ip/interface-ip/ddr.html,0.03,16,32,0,0,7,0,0,0,0,9,0,0,0,22
https://www.synopsys.com/blogs/chip-design/misra-autosar-future-connected-car.html,0.03,6,32,0,0,2,2,0,0,0,31,31,0,0,0
https://investor.synopsys.com/news/news-details/2023/New-Synopsys-Research-Reveals-Vast-Majority-of-Organizations-Report-DevOps-Delays-Due-to-Critical-Security-Issues/default.aspx,0.03,2,32,0,0,1,0,0,0,0,32,0,0,0,0
https://www.synopsys.com/implementation-and-signoff/fpga-based-design/synplify.html,0.03,12,32,0,0,5,0,2,0,0,32,0,9,0,0
https://news.synopsys.com/2025-07-14-Synopsys-Receives-All-Necessary-Approvals-for-Proposed-Acquisition-of-Ansys,0.03,22,32,0,1,12,0,1,1,0,32,0,0,0,0
https://www.synopsys.com/designware-ip/interface-ip/pci-express/pci-express-6.html,0.03,13,32,0,0,6,0,0,0,0,32,0,0,0,-62
https://www.synopsys.com/zh-cn/china/about-us.html,0.03,5,32,0,0,5,0,4,0,0,32,0,31,0,-2
https://www.synopsys.com/company/contact-synopsys/office-locations/india.html,0.03,9,32,0,0,0,2,0,0,0,0,32,0,0,0
https://www.synopsys.com/designware-ip/processor-solutions/arc-v-processors/arc-v-rmx.html,0.03,4,32,0,1,1,0,0,0,3,29,0,0,0,29
https://www.synopsys.com/implementation-and-signoff/custom-design-platform/custom-compiler.html,0.03,8,32,0,0,4,0,1,0,0,32,0,0,0,0
https://www.synopsys.com/zh-cn/silicon/tcad/framework.html,0.03,1,31,0,0,1,0,0,0,0,31,0,0,0,0
https://www.synopsys.com/glossary/what-is-fdtd.html,0.03,13,31,0,0,11,0,0,0,0,31,0,0,0,-20
https://www.synopsys.com/photonic-solutions/rsoft-photonic-device-tools/rsoft-products.html,0.03,2,30,0,0,2,0,0,0,0,30,0,0,0,0
https://www.synopsys.com/glossary/what-is-programmable-electrical-rules-checking.html,0.03,16,30,0,0,8,0,0,0,0,30,0,0,0,-145
https://www.synopsys.com/blogs/chip-design/what-is-mobile-industry-processor-interface-protocol.html,0.03,13,30,0,0,6,5,0,1,0,22,6,0,3,3
https://www.synopsys.com/company/management-team/prith-banerjee-bio.html,0.03,5,30,0,2,5,0,0,0,12,30,0,0,0,0
https://www.synopsys.com/support/wget-installation-guide.html,0.03,50,30,0,0,17,0,0,0,0,30,0,0,0,-7
https://www.synopsys.com/designware-ip/processor-solutions/arc-v-processors.html,0.03,6,29,0,0,5,0,0,1,0,25,0,0,4,0
https://www.synopsys.com/blogs/chip-design/rram-mram-non-volatile-memory.html,0.03,36,29,0,1,18,0,0,0,0,29,0,0,0,-1
https://www.synopsys.com/blogs/chip-design/what-is-silent-data-corruption-sdc.html,0.03,14,28,0,0,7,1,0,0,0,28,0,0,0,0
https://benefits.synopsys.com/financial/employee-stock-purchase-plan,0.03,90,28,0,3,27,0,2,0,1,25,0,0,0,7
"https://news.synopsys.com/2024-01-16-Synopsys-to-Acquire-Ansys,-Creating-a-Leader-in-Silicon-to-Systems-Design-Solutions",0.03,58,28,0,1,13,1,1,0,0,28,0,2,0,24
https://www.synopsys.com/articles/ecc-memory-error-correction.html,0.03,40,28,0,2,21,0,0,0,0,27,0,0,0,0
https://www.synopsys.com/manufacturing/manufacturing-analytics/bistel.html,0.03,2,28,0,0,2,0,0,0,0,28,0,0,0,0
https://www.synopsys.com/verification/virtual-prototyping/silver.html,0.03,22,28,0,0,5,1,2,0,0,28,0,26,0,-10
